Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,Cluster,Mood
0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,1,Mask Off,Future,4,Happy
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.173,1,Xanny Family,Future,4,Happy
5,0.00479,0.804,251333,0.56,0.0,8,0.164,-6.682,1,0.185,85.023,4.0,0.264,1,Sneakin’,Drake,4,Happy
6,0.0145,0.739,241400,0.472,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,1,Childs Play,Drake,4,Happy
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,4,Happy
17,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654,0,0.0429,122.415,4.0,0.842,1,One Nation Under a Groove,Funkadelic,4,Happy
18,0.314,0.713,195429,0.611,0.0,1,0.117,-6.702,0,0.241,140.061,4.0,0.783,1,Bouncin,Chief Keef,4,Happy
19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.982,4.0,0.763,1,C O O L - Radio Edit,Le Youth,4,Happy
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,1,This Ready Flesh,TR/ST,4,Happy
31,0.0219,0.897,285240,0.642,1.31e-06,2,0.159,-8.828,1,0.0534,127.984,4.0,0.27,1,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,4,Happy
34,0.118,0.805,232880,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,4.0,0.683,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,4,Happy
37,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4.0,0.677,1,Jumpman,Drake,4,Happy
39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,1,Somebody's Watching Me,Rockwell,4,Happy
46,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4.0,0.947,1,Fantastic Man,William Onyeabor,4,Happy
47,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,4.0,0.832,1,Right Place Wrong Time,Dr. John,4,Happy
48,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,3.0,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,4,Happy
49,0.183,0.716,576888,0.957,0.058,3,0.182,-4.814,1,0.0689,106.714,4.0,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor,4,Happy
50,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852,1,Annie,Neon Indian,4,Happy
58,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,4.0,0.599,1,Dopeman,Vince Staples,4,Happy
61,0.257,0.559,225347,0.656,0.000171,9,0.2,-8.699,0,0.0469,79.638,4.0,0.671,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",4,Happy
63,0.273,0.793,232251,0.7,0.0,0,0.174,-6.641,0,0.0572,140.058,4.0,0.887,1,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,4,Happy
64,0.374,0.549,223720,0.715,3.5e-06,1,0.17,-11.164,1,0.0633,82.118,4.0,0.785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,4,Happy
67,0.00781,0.879,213786,0.512,1.45e-05,0,0.134,-7.83,1,0.0775,127.95,4.0,0.277,1,Look At Wrist,Father,4,Happy
70,0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797,1,They Don't Know - Original Mix,Disciples,4,Happy
72,0.518,0.683,155133,0.708,2.08e-05,4,0.175,-6.852,0,0.0289,106.446,4.0,0.967,1,Spooky,Dusty Springfield,4,Happy
73,0.0548,0.768,239908,0.853,0.13,10,0.0188,-5.915,0,0.0427,107.234,4.0,0.887,1,Pick Up The Pieces,Average White Band,4,Happy
80,0.555,0.791,187210,0.58,0.00155,8,0.116,-8.377,1,0.0588,81.678,4.0,0.733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,4,Happy
85,0.0192,0.619,275533,0.734,0.263,5,0.0771,-9.366,0,0.0343,106.034,4.0,0.853,1,I'm In Love,Fool's Gold,4,Happy
86,0.00776,0.898,429897,0.5,0.292,1,0.0771,-11.089,1,0.0571,122.281,4.0,0.868,1,I Need You Tonight,Punkin Machine,4,Happy
89,0.0397,0.786,302840,0.547,0.272,1,0.0378,-11.416,1,0.262,92.603,4.0,0.68,1,Sugah Daddy,D'Angelo,4,Happy
91,0.0454,0.812,268421,0.676,0.0,1,0.0929,-4.502,1,0.0491,114.047,4.0,0.399,1,Swerve,ILoveMakonnen,4,Happy
92,0.00672,0.876,213246,0.606,1.06e-05,0,0.14,-5.471,1,0.0645,127.975,4.0,0.249,1,Look At Wrist,Father,4,Happy
